wallet,target_slug,target_buy_usdc,target_pnl,target_roi,history_match_count,hist_mean_buy_usdc,hist_median_buy_usdc,hist_std_buy_usdc,hist_min_buy_usdc,hist_max_buy_usdc,ratio_vs_mean,ratio_vs_median,ratio_vs_hist_max,zscore,target_trade_count,target_first_time,target_last_time,history_slugs
0xa0855414549d6f5d83d0dc6dcc2827c68e127fcc,lol-wb-tes-2026-03-02,269.999997,335.886878,1.244025,7,102.461139,85.277998,88.067863,4.999999,299.999998,2.635145,3.166116,0.9,1.902384,7,2026-03-02 09:43:15,2026-03-02 21:27:11,lol-al-tes-2026-02-01|lol-tes-al-2026-01-24|lol-tes-blg-2026-01-18|lol-tes-wb-2026-01-19|lol-tes-we-2026-02-10|lol-tes-we-2026-02-28|lol-wb-tes-2026-01-27
0x5a3c2e8e5e4dea3e41dea2916a34327dbd3238d3,lol-wb-tes-2026-03-02,667.899992,-664.999992,-0.995658,3,223.15296,211.999996,58.724121,157.458886,299.999997,2.993014,3.150472,2.226333,7.573498,10,2026-03-02 18:44:11,2026-03-02 18:44:35,lol-al-tes-2026-02-01|lol-tes-we-2026-02-10|lol-tes-we-2026-02-28
0x21c24a79a0c2f07b2ed34e30d42dffa3d0b66749,lol-wb-tes-2026-03-02,2278.1405,108.219,0.047503,3,785.856833,738.786,597.095222,79.24,1539.5445,2.898926,3.083627,1.47975,2.499239,185,2026-03-02 13:12:39,2026-03-02 21:26:27,lol-tes-al-2026-01-24|lol-tes-we-2026-02-10|lol-tes-we-2026-02-28
0x143c7100fcb93b19a746372c938a7a091e5588b9,lol-wb-tes-2026-03-02,665.649591,795.322229,1.194806,7,300.136369,220.339996,162.980662,176.095427,678.599991,2.217824,3.021011,0.980916,2.242678,28,2026-03-01 20:56:51,2026-03-02 21:13:25,lol-al-tes-2026-02-01|lol-tes-blg-2026-01-18|lol-tes-jdg-2026-01-14|lol-tes-wb-2026-01-19|lol-tes-we-2026-02-10|lol-tes-we-2026-02-28|lol-wb-tes-2026-01-27
0xf3228557e59c30197a27076511a5f0accfab68b4,lol-wb-tes-2026-03-02,25.5,4.5,0.176471,4,12.75,8.5,7.361216,8.5,25.5,2.0,3.0,1.0,1.732051,1,2026-03-02 21:15:15,2026-03-02 21:15:15,lol-al-tes-2026-02-01|lol-tes-al-2026-01-24|lol-tes-jdg-2026-01-14|lol-tes-we-2026-02-10
0xde0463ea7f611b065e8ab06bbfbddad75e6dfa37,lol-wb-tes-2026-03-02,5819.36078,3524.075474,0.605578,2,1947.82859,1947.82859,1727.144909,220.683681,3674.973499,2.987614,2.987614,1.583511,2.241579,113,2026-03-01 04:41:31,2026-03-02 21:19:05,lol-al-tes-2026-02-01|lol-tes-we-2026-02-28
0x7795d2ccdae3dc851329c3a576a2d61468bc17aa,lol-wb-tes-2026-03-02,251.699,-42.999,-0.170835,4,75.9142,84.786,28.664051,29.0,105.0848,3.315572,2.968639,2.395199,6.132587,11,2026-03-02 19:22:51,2026-03-02 21:22:01,lol-tes-al-2026-01-24|lol-tes-blg-2026-01-18|lol-tes-wb-2026-01-19|lol-tes-we-2026-02-10
0xb89190c659af6087669fce8a4c9dc0f2102e969b,lol-wb-tes-2026-03-02,251.019155,-251.019155,-1.0,6,100.709158,88.499911,65.946381,11.11,227.109901,2.492516,2.836377,1.105276,2.279276,9,2026-03-02 20:49:23,2026-03-02 21:12:35,lol-al-tes-2026-02-01|lol-tes-al-2026-01-24|lol-tes-blg-2026-01-18|lol-tes-wb-2026-01-19|lol-tes-we-2026-02-10|lol-wb-tes-2026-01-27
0xf232fee6429a6acd5cc99a86fbf79083f20a4fc6,lol-wb-tes-2026-03-02,322.950166,-17.721166,-0.054873,2,116.7756,116.7756,8.5756,108.2,125.3512,2.765562,2.765562,2.576363,24.041999,25,2026-03-02 15:33:55,2026-03-02 21:23:29,lol-tes-jdg-2026-01-14|lol-tes-we-2026-02-10
0xd92df395cd7cb4a538d90accd2146cfbeacee560,lol-wb-tes-2026-03-02,760.0,480.0,0.631579,4,266.166933,277.78945,119.800589,86.1,422.988831,2.855351,2.735885,1.796738,4.122126,2,2026-03-02 18:09:51,2026-03-02 18:09:51,lol-al-tes-2026-02-01|lol-tes-al-2026-01-24|lol-tes-wb-2026-01-19|lol-tes-we-2026-02-10
